$Element Number
43512
$Element_id  Value
82  5.39526736247353255749e-05  5.02789043821394443512e-05
83  -2.41172838286729529500e-05  1.88633974175900220871e-04
84  -2.56741441262420266867e-06  1.06269762909505516291e-05
85  0.00000000000000000000e+00  3.91697130908141843975e-06
86  3.32925446109091915936e-13  -2.34511367125378455967e-06
87  7.94063817011192440987e-06  -7.01828867022413760424e-06
88  3.96896139136515557766e-05  -1.49096331369946710765e-05
89  3.37876736011821776628e-05  -2.74230824288679286838e-05
90  1.55615126714110374451e-02  -8.26664175838232040405e-03
91  -1.57673530338797718287e-05  1.85486260306788608432e-05
92  -1.10352593765128403902e-05  1.21236462291562929749e-05
93  -2.90818320536345709115e-06  6.83140524415648542345e-06
94  0.00000000000000000000e+00  0.00000000000000000000e+00
95  -1.83422821464773733169e-06  3.70159984478327097612e-13
96  -1.70202622484794119373e-06  8.72609706714655430915e-10
97  0.00000000000000000000e+00  2.39767609855334740132e-06
98  1.14379837157230213052e-07  9.42049609875539317727e-06
99  9.16388034966075792909e-06  4.96210941491881385446e-06
100  2.14281990338349714875e-05  4.36533400716143660247e-06
101  5.28307355125434696674e-05  1.64811826834920793772e-05
102  4.84493393742013722658e-05  5.94820739934220910072e-05
103  3.56056989403441548347e-05  2.89209237962495535612e-05
104  2.29603265324840322137e-05  2.99943822028581053019e-05
105  1.48358376463875174522e-05  5.18415872647892683744e-05
106  -8.15684907138347625732e-05  3.38072684826329350471e-04
107  -5.56980103283422067761e-06  1.16616838568006642163e-05
108  0.00000000000000000000e+00  3.27134898725489620119e-06
109  7.83546616478503210601e-10  -3.29259569298301357776e-06
110  1.51993317558662965894e-05  -8.62887191033223643899e-06
111  3.09601928165648132563e-05  -2.38534685195190832019e-05
112  2.31636004173196852207e-05  -1.82546482392353937030e-05
113  2.28194821829674765468e-05  -1.58494258357677608728e-05
114  1.13470526412129402161e-03  1.08268000185489654541e-02
115  -1.64465564012061804533e-05  1.93280684470664709806e-05
116  -1.14541580842342227697e-05  1.48802309922757558525e-05
117  -4.46752801508409902453e-06  4.93606330564944073558e-06
118  0.00000000000000000000e+00  0.00000000000000000000e+00
119  -5.25661835126811638474e-06  -1.45846590360321215485e-09
120  -3.98626480091479606926e-06  5.52662368136225268245e-06
121  -5.43649569806348154088e-10  2.13064049603417515755e-06
122  2.23542542698851320893e-07  8.12372854852583259344e-06
123  8.55815358136169379577e-07  1.22078090498689562082e-05
124  8.76525973581010475755e-06  1.20233344205189496279e-05
125  2.25732146645896136761e-05  9.11201823328156024218e-06
126  2.86492413579253479838e-05  1.47516757351695559919e-05
127  3.22942323691677302122e-05  4.23231504100840538740e-05
128  3.49063666362781077623e-05  4.46412632300052791834e-05
129  2.79069518001051619649e-05  4.23384408350102603436e-05
130  7.22981785656884312630e-05  2.23838258534669876099e-04
131  -5.83149558224249631166e-05  1.70407191035337746143e-04
132  -4.99590078106848523021e-06  7.08021389073110185564e-06
133  0.00000000000000000000e+00  2.64143909589620307088e-06
134  0.00000000000000000000e+00  0.00000000000000000000e+00
135  2.31742842515814118087e-06  -2.27368218475021421909e-06
136  1.06821253211819566786e-05  -6.98592748449300415814e-06
