code latitude longitude
02M459 40.7653886 -73.959763
02M460 40.7354677 -73.987393
02M473 40.7127837 -74.0059413
02M475 40.7180467 -74.0141295
02M489 40.7091389 -74.0123057
02M500 40.7241158 -74.00501059999999
02M507 40.7127837 -74.0059413
02M519 40.765977 -73.960013
02M520 40.7109343 -74.00155099999999
02M529 40.7577346 -73.98349209999999
02M531 40.7560302 -73.9844842
02M533 40.7354885 -73.98727
02M534 40.7365796 -73.9955569
02M542 40.7656204 -73.99292230000002
02M543 40.7174031 -73.989434
02M544 40.7679295 -73.9890436
02M545 40.717246 -73.9893251
02M546 40.8554252 -73.88227619999999
02M550 40.741817 -74.00023089999999
02M551 40.7127837 -74.0059413
02M560 40.7127837 -74.0059413
02M565 40.7127837 -74.0059413
02M570 40.7475154 -73.9904622
02M575 40.7326531 -73.9842771
02M580 40.705003 -74.0130629
02M586 40.7298407 -73.99262709999999
02M600 40.7456446 -73.9963504
02M605 40.7127837 -74.0059413
02M615 40.7245683 -74.0048497
02M620 40.7463732 -73.9810389
02M625 40.7639904 -73.99069469999999
02M630 40.758986 -73.9660378
02M655 40.7833582 -73.9456283
02M655 40.7833582 -73.9456283
02M896 40.7054535 -74.01289849999999
03M009 40.7127837 -74.0059413
03M054 40.8005954 -73.962734
03M075 40.7951899 -73.973653
03M076 40.8183859 -73.950135
03M084 40.7893842 -73.96798799999999
03M087 40.7817679 -73.9776387
03M145 40.7990346 -73.965087
03M149 40.8026108 -73.9484243
03M163 40.7948232 -73.9684717
03M165 40.8026846 -73.96604660000001
03M166 40.7888724 -73.97240339999999
03M180 40.7127837 -74.0059413
03M185 40.7985559 -73.94987139999999
03M191 40.7718426 -73.9875416
03M199 40.77789569999999 -73.9845832
03M208 40.7983197 -73.9503235
03M241 40.8159489 -73.9448543
03M242 40.7127837 -74.0059413
03M243 40.7849235 -73.9737138
03M245 40.7809995 -73.977895
03M247 40.7894568 -73.9682648
03M250 40.795129 -73.9737907
03M256 40.7916742 -73.9706973
03M258 40.7127837 -74.0059413
03M283 40.77482200000001 -73.984702
03M299 40.7748335 -73.9848519
03M307 40.7747207 -73.9848595
03M333 40.7915416 -73.9709525
03M334 40.7809858 -73.9777467
03M402 40.7859935 -73.97416989999999
03M403 40.7860215 -73.9743031
03M404 40.7860705 -73.9744195
03M415 40.7127837 -74.0059413
03M415 40.7127837 -74.0059413
03M417 40.7861122 -73.97434129999999
03M421 40.7811119 -73.9778245
03M470 40.7859344 -73.9740274
03M479 40.7725382 -73.988288
03M485 40.7127837 -74.0059413
03M492 40.7744717 -73.98503509999999
03M494 40.6366466 -74.0231369
03M505 40.7968972 -73.9669454
03M541 40.7746105 -73.98512029999999
03M859 40.7127837 -74.0059413
03M860 40.8025291 -73.95462119999999
03M860 40.8025291 -73.95462119999999
03M862 40.8030199 -73.9660646
04M007 40.8009626 -73.9395607
04M012 40.792615 -73.9417024
04M013 40.6797879 -73.89586729999999
04M037 40.797077 -73.9304123
04M038 40.7886056 -73.9448436
04M045 40.7991293 -73.9335775
04M050 40.7857495 -73.94232029999999
04M057 40.79711959999999 -73.94176259999999
04M072 40.79125639999999 -73.94749980000002
04M083 40.7929931 -73.9416107
04M096 40.8001014 -73.9376023
04M102 40.7134182 -74.0054859
04M108 40.7951719 -73.9479896
04M112 40.7963888 -73.92999999999999
04M146 40.7127837 -74.0059413
04M155 40.7973706 -73.9358973
04M171 40.7923111 -73.9514928
04M182 40.7931436 -73.9419699
04M206 40.7969306 -73.93003089999999
04M206 40.7969306 -73.93003089999999
04M224 40.7127837 -74.0059413
04M372 40.7127837 -74.0059413
04M372 40.7127837 -74.0059413
04M375 40.7957271 -73.9442383
04M377 40.78509200000001 -73.94214699999999
04M381 40.7925612 -73.94158159999999
04M406 40.8010056 -73.9396308
04M409 40.7991477 -73.9337463
04M435 40.7942414 -73.93325879999999
04M495 40.7902439 -73.9441026
04M497 40.7828647 -73.9653551
04M555 40.7936309 -73.9488961
04M610 40.7103421 -73.9438547
04M610 40.7103421 -73.9438547
04M635 40.7127837 -74.0059413
04M680 40.7127837 -74.0059413
04M825 40.7127837 -74.0059413
04M964 40.7922498 -73.95136219999999
05M030 40.8056987 -73.93558519999999
05M036 40.810685 -73.9574396
05M046 40.8316697 -73.93580539999999
05M092 40.8150746 -73.94582
05M123 40.8199241 -73.94443629999999
05M125 40.8107602 -73.9560569
05M129 40.815 -73.9522222
05M133 40.8096551 -73.9390751
05M154 40.8103786 -73.94847109999999
05M161 40.8176609 -73.952891
