longitude,latitude,YR,MO,X,Y,TOT,CR
-74.01059931,40.67700015110339,2015,5,981310,185926,1,FELONY ASSAULT
-74.00050478,40.683692394992086,2015,5,984110,188364,1,GRAND LARCENY
-74.00102042,40.68648656894594,2015,5,983967,189382,2,GRAND LARCENY
-73.99870551,40.688377713192274,2015,5,984609,190071,1,GRAND LARCENY
-74.0020693,40.67427505947438,2015,5,983676,184933,1,GRAND LARCENY
-74.00625491,40.67566376414973,2015,5,982515,185439,1,ROBBERY
-73.93694855,40.67695317067806,2015,5,1001739,185915,1,BURGLARY
-73.9261444,40.67636485035988,2015,5,1004736,185703,1,BURGLARY
-73.92401812,40.66935605115582,2015,5,1005328,183150,1,FELONY ASSAULT
-73.94838378,40.67757644,2015,5,998567,186140,1,FELONY ASSAULT
-73.94284639,40.67727464541054,2015,5,1000103,186031,1,FELONY ASSAULT
-73.93225285,40.67155152733948,2015,5,1003043,183948,1,GRAND LARCENY
-73.93184106,40.67589351993947,2015,5,1003156,185530,1,GRAND LARCENY OF MOTOR VEHICLE
-73.9486964,40.67423619181764,2015,5,998481,184923,1,GRAND LARCENY OF MOTOR VEHICLE
-73.96494452,40.67401172865386,2015,5,993974,184839,1,GRAND LARCENY OF MOTOR VEHICLE
-73.95663273,40.67179661,2015,5,996280,184033,1,ROBBERY
-73.9344711,40.67763798007916,2015,5,1002426,186165,1,ROBBERY
-73.93895941,40.67394049168276,2015,5,1001182,184817,1,ROBBERY
-73.97621467,40.68197719987785,2015,5,990847,187740,1,BURGLARY
-73.97390825,40.67918801050396,2015,5,991487,186724,1,BURGLARY
-73.98376115,40.66626467433775,2015,5,988755,182015,1,BURGLARY
-73.97514112,40.67960548904333,2015,5,991145,186876,1,BURGLARY
-73.9851205,40.68062826794148,2015,5,988377,187248,1,FELONY ASSAULT
-73.95797975,40.69662356981175,2015,5,995902,193078,1,BURGLARY
-73.95227247,40.68452514311648,2015,5,997487,188671,1,BURGLARY
-73.94806561,40.68800643646365,2015,5,998653,189940,1,FELONY ASSAULT
-73.94747532,40.68666397542461,2015,5,998817,189451,1,GRAND LARCENY
-73.95730605,40.69557207571837,2015,5,996089,192695,1,GRAND LARCENY
-73.95503315,40.68099647743321,2015,5,996722,187385,1,GRAND LARCENY
-73.94364023,40.68926420399762,2015,5,999880,190399,1,GRAND LARCENY OF MOTOR VEHICLE
-73.95241978,40.68525531346197,2015,5,997446,188937,1,ROBBERY
-73.95030028,40.6892508,2015,5,998033,190393,1,ROBBERY
-73.9234683,40.68671089838843,2015,5,1005475,189473,1,FELONY ASSAULT
-73.93135021,40.68692996262765,2015,5,1003289,189551,1,FELONY ASSAULT
-73.92219602,40.68006769420016,2015,5,1005830,187053,1,FELONY ASSAULT
-73.93848052,40.69285446544228,2015,5,1001310,191708,1,FELONY ASSAULT
-73.93731793,40.69437444027345,2015,5,1001632,192262,1,GRAND LARCENY OF MOTOR VEHICLE
-73.93593074,40.69314950930261,2015,5,1002017,191816,1,GRAND LARCENY OF MOTOR VEHICLE
-73.93207845,40.69059466412374,2015,5,1003086,190886,1,ROBBERY
-73.90697143,40.69233376035267,2015,5,1010048,191526,1,BURGLARY
-73.90766642,40.69043219385228,2015,5,1009856,190833,1,BURGLARY
-73.9287159,40.70240611384244,2015,5,1004015,195190,1,BURGLARY
-73.92977926,40.699530251812064,2015,5,1003721,194142,1,BURGLARY
-73.90807199,40.69181039355019,2015,5,1009743,191335,1,BURGLARY
-73.90587688,40.6809256,2015,5,1010356,187370,1,FELONY ASSAULT
