$Element Number
48634
$Element_id  Value
73  5.33513142727315425873e-04  3.56202684342861175537e-02
74  4.08564490498974919319e-04  1.19105502963066101074e-02
75  3.83501756004989147186e-04  4.54111471772193908691e-02
76  0.00000000000000000000e+00  0.00000000000000000000e+00
77  0.00000000000000000000e+00  4.03277715668082237244e-03
78  -2.91107427328824996948e-02  7.20554813742637634277e-02
79  -1.18478806689381599426e-02  1.23991770669817924500e-02
80  -1.37414587661623954773e-02  1.73207521438598632812e-02
81  -1.23583795502781867981e-02  1.83922499418258666992e-02
82  -1.13101908937096595764e-02  2.12273299694061279297e-02
83  -3.30183276673778891563e-04  -5.68883668165653944016e-04
84  3.95928946090862154961e-04  -3.93487658584490418434e-04
85  1.94530952721834182739e-02  1.19651306886225938797e-03
86  6.72893151640892028809e-02  2.91512045077979564667e-03
87  1.13051794469356536865e-01  -2.91139294859021902084e-04
88  1.32759302854537963867e-01  1.50639854837208986282e-03
89  2.48379915952682495117e-01  1.58183887600898742676e-01
90  4.68143913894891738892e-03  3.13681066036224365234e-01
91  -6.12441189587116241455e-02  4.43574646487832069397e-03
92  -9.89701249636709690094e-04  2.30319448746740818024e-03
93  5.28304895851761102676e-04  3.63720254972577095032e-03
94  2.32569891959428787231e-02  2.64494195580482482910e-02
95  1.09715901315212249756e-01  2.20872700214385986328e-01
96  -7.79708323534578084946e-04  1.08580449596047401428e-02
97  2.51349224708974361420e-03  -1.04792171623557806015e-03
98  -7.99942202866077423096e-03  4.70307804644107818604e-02
99  -2.40988191217184066772e-02  5.76286762952804565430e-02
100  -4.60803834721446037292e-03  6.31251838058233261108e-03
101  -6.16912916302680969238e-03  1.24168647453188896179e-02
102  -7.86464940756559371948e-03  1.54278269037604331970e-02
103  -8.49687494337558746338e-03  1.94362625479698181152e-02
104  -4.00754390284419059753e-04  2.46808398514986038208e-04
105  5.54910744540393352509e-04  3.30596813000738620758e-04
106  1.34258959442377090454e-02  6.84160215314477682114e-04
107  3.67181487381458282471e-02  7.63742355047725141048e-05
108  1.00033851340413093567e-02  -2.05708155408501625061e-03
109  5.43222874402999877930e-02  -2.98637605737894773483e-04
110  1.20529152452945709229e-01  -2.20261737704277038574e-02
111  6.97995126247406005859e-02  4.63393777608871459961e-01
112  -5.48014566302299499512e-02  2.26975185796618461609e-03
113  -5.12053375132381916046e-05  1.19407847523689270020e-03
114  2.57115457206964492798e-02  1.94631027989089488983e-03
115  5.48575967550277709961e-02  2.09531467407941818237e-03
116  6.52468353509902954102e-02  1.35143518447875976562e-01
117  -2.39371135830879211426e-02  3.66711220704019069672e-03
118  -3.75545641873031854630e-04  -6.80704833939671516418e-04
119  3.75545874703675508499e-04  -6.80705008562654256821e-04
120  -4.96152415871620178223e-03  5.82843236625194549561e-02
121  -3.25924996286630630493e-03  2.30443477630615234375e-02
122  1.08653167262673377991e-03  1.94594115018844604492e-02
123  -1.05299398303031921387e-01  1.11122250556945800781e-01
